,CATEGORY,TAGS,ga_txt_cleaned
13288,Stream Processing,camel|connector|kafka|streaming,camel kafkaconnector stream kafka connector
129,Search Engines,actor|akka|amazon|aws|concurrency|distributed|elastic|elasticsearch|reactive|search,jiko reactive aw elasticsearch akka
20015,Example,example|io|streaming,apigee trireme stream sample
22787,File Handler,json,lihaoyi upickle
24462,Logging / Monitoring,logging,eulerframework euler common log
5831,Web Applications,application|web|webapp,ovea tajin js
22554,Database,jdbc|sql,houbb jdbc
8947,Build Automation Tool Plugins,build|build-system|bytecode|maven|plugin,plugin javassist maven
20109,Example,example|jetty|server|webserver,geronimo sample mytime jetty
16199,Utilities,date|time,nscala time
3287,Example,application|example|web|webapp,dblock waffle demo jaas
22401,Languages / Compiler / Interpretation,javax|specs|standard,javax medium jai core
4298,Web Applications,application|jquery|web|web-framework|webapp,jgeppert strut jquery grid showcase
26012,Database,orm|persistence,orm fux common util
22922,File Handler,json|native,json native
27517,Marshalling / Unmarshalling,serialization,xuwei msgpackz jawn
19693,Example,example|io,dheid example
272,Caching,actor|akka|concurrency|distributed|http|typesafe|caching,typesafe akka http cache
7709,Barcode Handler,barcode,barcodej fop ext
15961,File Handler,csv,gekomad itto csv
11614,Build Automation Tool Plugins,build|build-system|maven|plugin,revelc code maven plugin
21188,Exception Handling,extension|exception,concordion exception translator extension
12159,Build Automation Tool Plugins,build|build-system|maven|plugin,util maven plugin
21240,UI,framework|io|web,udash core share
21939,UI,gwt|ui,gwt
24448,Logging / Monitoring,logging,log
3156,Web Applications,application|example|server|web|webapp,wso appserver sample app
8016,IDE Modules,binding,cloudfarming client jaxb
24403,Logging / Monitoring,logging,util log aop
20010,Example,example|io|spring,zeebe spring root example
14571,Languages / Compiler / Interpretation,codec|javax|specs|standard,javax medium jai codec
28531,File Handler,yaml,jcazevedo moultingyaml
15854,File Handler,csv,gitlab java util csv
21508,Build Automation Tool Plugins,generator|maven|plugin|tools|web,appverse web tool codegenerator code generator
22241,Marshalling / Unmarshalling,io|serialization,raven source serializer with
14974,Concurrency Libraries,concurrency|concurrent|functional|scala|scalaz,scalaz concurrent
17842,Example,example,pulsar example
21053,Example,example|transaction,jacorb demo bank transaction
9947,Build Automation Tool Plugins,build|build-system|jsf|maven|plugin,myface trinidadbuild maven plugin
28464,Utilities,validation,wix accord coresjs
27196,Job Scheduling,scheduling,kfcfan oh scheduler
2835,Web Applications,application|example|jboss|web|webapp,jboss errai bus demos
20990,Example,example|streaming|twitter,stream example flink twitter collection
19787,Example,example|io,fabric example
21718,Graph Algorithms and Tools,graph,lihaoyi mill main graphviz
15815,UI,css|styles,lihaoyi cssparsesjs
7615,Database,aws|database|dynamodb|reactive,jiko reactive dynamodb project
15206,Crawler,crawler|elastic|elasticsearch|search,pilato elasticsearch crawler fscrawler common
2995,Example,application|example|portal|web|webapp,eona portal demo portlet addressbook
16687,Build Automation Tool Plugins,deployment|maven|plugin,wcm cq deploy plugin
16809,DNS Libraries,dns,sclasen spray route
3784,Web Applications,application|example|web|webapp|wicket,wicketstuff example
2254,Web Applications,application|collector|server|web|webapp,bull collector server
9188,Build Automation Tool Plugins,build|build-system|database|maven|mysql|plugin,craftercms maven plugin
21631,Utilities,google|commons,google guava
26740,Rule Engines,rule-engine,drool wb enum editor client
18124,Example,example,demos
23885,Testing,library|testing,eurodyn qlack fuse component library test
9683,Build Automation Tool Plugins,build|build-system|io|maven|plugin,cdap maven plugin
24736,Logging / Monitoring,logging|policy,mariocairone logj policy parent
8853,Example,broker|example|jms|queue,activemq example broker message
10631,Build Automation Tool Plugins,build|build-system|maven|plugin,ulisesbocchio jasypt maven plugin
24009,Logging / Monitoring,logging,connect common log
7271,UI,assets|web,webjar bower
22664,Managing / Monitoring,jmx,sling hc jmx
25654,Native Access Tools,native,fommil netlib nativeref
16335,Machine Learning,deep-learning|machine-learning,thoughtwork deeplearne
11515,Build Automation Tool Plugins,build|build-system|maven|plugin,name dmaus schxslt maven plugin
23662,Stream Processing,kafka|streaming,kafka
25002,Build Automation Tool Plugins,maven|persistence|plugin,plugin mybatis
9410,Build Automation Tool Plugins,build|build-system|generator|maven|persistence|plugin,mybatis generator maven plugin
27128,Testing,scala|testing,scalatest
22217,Utilities,io|regexp,rebj
3133,Web Applications,application|example|security|web|webapp,shiro sample
16817,DNS Libraries,dns,cloudsoft brooklyn dns aw feature
20240,Example,example|jpa|persistence,arie sample ariestrader persist jpa
10835,Build Automation Tool Plugins,build|build-system|maven|plugin,atlassian maven plugin confluence
27139,Testing,scala|testing,scalatest scalatestsjs
6316,Web Applications,application|web|webapp,picketlink quickstart idp
28426,Utilities,validation,validator
19499,Example,example|gwt|ui,livesense live sample gwt note
20042,Example,example|javaee,java trueupdate sample appl javaee
16294,Machine Learning,deep-learning,deeplearningj ui model
11377,Build Automation Tool Plugins,build|build-system|maven|plugin,xdev software appbuilder maven plugin
3506,Example,application|example|web|webapp,hobsoft symmetry demo gallery
10795,Build Automation Tool Plugins,build|build-system|maven|plugin,aerse maven dep plugin
15916,File Handler,csv,nuxeo csv
13340,Example,camel|data|datasource|esb|example|sql,servicemix example camel sql datasource
22407,Languages / Compiler / Interpretation,javax|specs|standard,javax jee
28430,Utilities,validation,domain validation
23027,UI,jsp|taglib|web,glassfish web jstl
8808,Logging / Monitoring,bridge|logging,slfj jcl
10948,Build Automation Tool Plugins,build|build-system|maven|plugin,protostuff maven plugin
22170,Build Automation Tool Plugins,io|maven|plugin,teecube site enhancer
2291,Web Applications,application|console|esb|web|webapp,open esb openesb web console
13211,Stream Processing,camel|connector|kafka|streaming,camel kafkaconnector file kafka connector
17073,IDE Modules,eclipse|io|plugin,sarl
19384,Example,example|framework,axway framework example vm action
10930,Build Automation Tool Plugins,build|build-system|maven|plugin,devonfw maven plugin
2648,Example,application|example|geo|plugin|web|webapp,geomajas plugin geocoder puregwt example
10532,Build Automation Tool Plugins,build|build-system|maven|plugin,mkolisnyk maven plugin
24959,File Handler,markdown|specs|testing,spec markdownsjs
15439,Cryptography,cryptography,jboss resteasy crypto
20032,Example,example|io|webapp,brooklyn example webapps parent
1120,Web Applications,analytics|application|web|webapp,wso carbon analytic restapi
14049,Chart Libraries,chart|io|visualization,gatle chart
20083,Example,example|jdbc|sql,iotdb jdbc example
8399,UI,bootstrap,epam light bootstrap
16754,Stream Processing,distributed|processing|stream,netflix core
26286,File Handler,pdf,sonar plugin pdf report parent
5710,Web Applications,application|web|webapp,carleton gcrc nunaliit atlas couch
12708,Build Automation Tool Plugins,build|build-system|maven|plugin|spring,marchand maven spring xd plugin
8597,UI,bootstrap|eclipse|repository,veithen cosmo bootstrap equinox artifact repository
7830,Benchmarks,benchmark,marble benchmark
7910,Benchmarks,benchmark|gateway|io,scalecube gateway benchmark
2126,Web Applications,application|camel|example|jpa|persistence|web|webapp,wildfly camel example jpa
10851,Build Automation Tool Plugins,build|build-system|maven|plugin,baidu maven jmh plugin
20092,Example,example|jetty|rest|server|webserver,juneau example rest jetty
2649,Example,application|example|google|gwt|plugin|ui|web|webapp,geomajas plugin layer google gwt example
19141,Example,example,fx demo
25273,Build Automation Tool Plugins,maven|plugin,write plugin
14893,Compression Libraries,compression,avast bytecompressor jsnappy
17829,Example,example,oozie example
11705,Build Automation Tool Plugins,build|build-system|maven|plugin,maven dbus plugin
5890,Web Applications,application|web|webapp,cnr si sigla ng
3688,Example,application|example|web|webapp|webservice,atmosphere sample jersey webrtc
27879,UI,swing,swingx
26402,Database,persistence,mybatis pe
26042,OSGi,osgi,livesense live karaf webconsole brand
391,Actor Frameworks,actor|akka|concurrency|distributed|typesafe,typesafe akka actor
14028,Chart Libraries,chart|eclipse|ui|visualization,dentrassi neoscada hmi scada vi ui chart
21826,Graph Algorithms and Tools,graph,hawkular inventory tinkerpop parent
13082,Stream Processing,camel|connector|facebook|kafka|streaming,camel kafkaconnector facebook kafka connector
16268,Machine Learning,deep-learning,deeplearningj cuda
20443,Example,example|osgi,felix karaf demos
2358,Web Applications,application|crud|rest|web|webapp,redhat lightblue rest crud
7459,Languages / Compiler / Interpretation,authentication|javax|security|specs|standard,javax security auth message
25767,Native Access Tools,native,scala native
962,Code analyses,analysis|bytecode,liferay asm analysis
218,Database,actor|akka|cassandra|concurrency|database|distributed|persistence|typesafe,typesafe akka persistence cassandra
7222,UI,assets|web,webjar
25606,File Handler,module|scala|xml,scala lang module xml
7758,IDE Modules,beans,tidalwave thesefoolishthing bean
20461,Example,example|osgi,karaf example profile
5362,Testing,application|testing|web|webapp,oracle ozark test produce
22162,Build Automation Tool Plugins,io|maven|plugin,artifact publisher plugin
4377,Web Applications,application|management|web|webapp,charlyghislain authenticator management
13513,Example,camel|example|jms|queue|testing,fusesource fabric fab test sample camel activemq share
24844,Logging / Monitoring,management|monitoring,codahale metric core
16306,Machine Learning,deep-learning,deeplearningj java client
22841,File Handler,json,lihaoyi upicklesjs
7143,UI,assets|web,webjar jasmine
4657,Web Applications,application|portal|portlet|web|webapp,gatein portal exo portlet web
19269,Example,example,sonatype release example
6185,Web Applications,application|web|webapp,kuali rice standalone
3183,Web Applications,application|example|servlet|web|webapp,mobicent servlet sip example medium
14187,Database,client|elasticsearch|search,blacklocus jre
27566,Operations management,server|bpm,jbpm wb kie server backend
17982,Example,example,aoindustrie aoserv example
10600,Build Automation Tool Plugins,build|build-system|maven|plugin,spotbug maven plugin
15125,Distributed Coordination,coordination|distributed|facebook|zookeeper,facebook jcommon zookeeper
6007,Web Applications,application|web|webapp,beangle webui app showcase
24287,Logging / Monitoring,logging,outr scribe
21867,Graph Algorithms and Tools,graph|scala,ansvia graph blueprint scala
16888,DNS Libraries,dns|network,dspace dnsjava
23260,Testing,junit|testing,junit
18649,Example,example,ml dmlc xgboostj example
9312,Build Automation Tool Plugins,build|build-system|engine|maven|plugin|template,infrastructurebuilder template engine maven plugin
23754,Languages / Compiler / Interpretation,language,langrid go nict language
284,Logging / Monitoring,actor|akka|concurrency|distributed|logging|slf4j|typesafe,typesafe akka slfj
28593,Distributed Coordination,zookeeper,play zookeeper
17651,Template Engines,engine|template,enpassant ickenham
12085,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin database
901,Code analyses,analysis,eobject datacleaner analysis wizard
8273,File Handler,binding|xml,andromda thirdparty jaxbcommon xjc
24275,Logging / Monitoring,logging,logback
21519,Languages / Compiler / Interpretation,generator|module|parser|scala,scala lang module parser combinator
10101,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin
23029,Testing,junit,dius pact jvm junit
14482,Application Layer Protocol Integration,client|rest,juneau rest client utest
3191,Web Applications,application|example|servlet|web|webapp,mobicent servlet sip example call forward
3041,Example,application|example|provider|web|webapp,dubbo demo provider
2451,Web Applications,application|diagram|web|webapp,davidmoten diagram
7974,Benchmarks,benchmark|scala|scalajs,japgolly scalajs benchmark benchmarksjs
24378,Logging / Monitoring,logging,logger
9359,Build Automation Tool Plugins,build|build-system|file-system|jboss|maven|plugin,ikasan jboss filesystem maven plugin
18560,Example,example,toolchain example
855,Code analyses,analysis,checkstyle
11363,Build Automation Tool Plugins,build|build-system|maven|plugin,usage maven plugin
13862,Database,cassandra|client|database|driver,datastax cassandra driver dse
11917,Build Automation Tool Plugins,build|build-system|maven|plugin,fusesource scalate maven plugin
4340,Web Applications,application|launcher|web|webapp,tuscany sca node launcher webapp
13635,Testing,camel|integration|support|testing,camel quarkus integration test support core ext
23552,Stream Processing,kafka|streaming,hotel road healthcheck kafka
20706,Example,example|scala|scalaz,scalaz example
7792,Utilities,beans|validation,glassfish hk bean validator
13483,Example,camel|example|image|io|spring,fabric jube image quickstart java camel spring
24758,Logging / Monitoring,logging|scala|slf4j|typesafe,typesafe scala log slfj
19466,Example,example|google,google code example
3009,Web Applications,application|example|portal|web|webapp,gatein portal example portlet todomvc
21784,Graph Algorithms and Tools,graph,ml sparkle graph operator
9121,Build Automation Tool Plugins,build|build-system|config|maven|plugin,slinkyframework environment slinky config maven plugin
15603,Cryptography,cryptography,aoju bus boot crypto starter
18580,Example,example,inria powerapi example
20562,Example,example|plugin,plugin example
4973,Web Applications,application|server|service|smtp|web|webapp,toto castaldi service simple smtp server
762,Code analyses,analysis,powsybl security analysis local
6024,Web Applications,application|web|webapp,carewebframework webapp testharness
1047,Code analyses,analysis|database|hbase,aliyun hbase checkstyle
16684,Build Automation Tool Plugins,deployment|jboss|maven|plugin,jboss plugin deploy
14264,Application Layer Protocol Integration,client|http,http client
13017,Caching,cache,core
961,Bytecode Libraries,analysis|bytecode,bytecode analysis
5728,Web Applications,application|web|webapp,axway
11763,Build Automation Tool Plugins,build|build-system|maven|plugin,avaje ebeanorm codegen maven plugin
11626,Build Automation Tool Plugins,build|build-system|maven|plugin,alchim maven plugin
11679,Build Automation Tool Plugins,build|build-system|maven|plugin,stickycode plugin happy maven
2146,Web Applications,application|camel|example|soap|web|webapp,wildfly camel example cxf soap
24054,Logging / Monitoring,logging,log common
5125,Web Applications,application|server|web|webapp,psu swe scim server
14497,Database,client|sql,flink sql client
18344,Example,example,qcloud example
105,Actor Frameworks,actor,jumi actor
4825,Web Applications,application|resource|rest|system|web|webapp,alpharogroup resource system rest web
10907,Build Automation Tool Plugins,build|build-system|maven|plugin,mojo project maven plugin
20331,Example,example|logging,qos logback audit example
23614,Stream Processing,kafka|streaming,kafka connect gcp bigtable
14613,Testing,code-coverage|parser,cobertura parser
321,Stream Processing,actor|akka|concurrency|distributed|processing|stream|streaming|typesafe,typesafe akka stream
28082,Testing,testing,test instance
20438,Example,example|network|shell|spring|ssh,fonimus spring boot ssh shell basic sample
4560,Web Applications,application|platform|web|webapp,openurp ecupl platform webapp
12494,Build Automation Tool Plugins,build|build-system|maven|plugin|process,honton chas process exec maven plugin
4493,Web Applications,application|module|web|webapp,vgregion rp core bc module
2432,Web Applications,application|deployment|spring|testing|web|webapp,springframework boot spring deployment test wlp
20963,Example,example|spring|support,namic oss spring support terrific sample starter
4768,Web Applications,application|proxy|service|soa|web|webapp,membrane soa service proxy war
11909,Build Automation Tool Plugins,build|build-system|maven|plugin,fusesource mvnplugin maven plugin
27311,Security / Authentification,security,picketbox
10513,Build Automation Tool Plugins,build|build-system|maven|plugin,marschall skinny war maven plugin
9132,Build Automation Tool Plugins,build|build-system|connector|io|maven|plugin,fabric connector maven plugin
15727,Testing,cryptography|support|testing,theicenet cryptography test support
1834,Web Applications,application|authentication|reference|server|web|webapp,hspconsortium reference hspc auth server webapp
27273,Security / Authentification,security,qq security
22085,File Handler,io|json,argonaut
16045,File Handler,csv|io,common csv
10798,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin
24952,File Handler,markdown|specs|testing,spec markdown
22912,File Handler,json|module|scala,fasterxml jackson module scala
6117,Web Applications,application|web|webapp,web
1742,Build Automation Tool Plugins,appengine|build|build-system|maven|plugin,maven gae plugin
25697,Native Access Tools,native,intel analytic bigdl native
18108,Example,example,flowtick graph example
10082,Build Automation Tool Plugins,build|build-system|maven|platform|plugin,ze platform maven plugin
15591,Cryptography,cryptography,encryption
8783,Build Automation Tool Plugins,bridge|build|build-system|maven|plugin,sonatype maven plugin bridge
22503,Database,jdbc,databene
22475,Testing,jboss|testing,gatein pc test jboss
23628,Stream Processing,kafka|streaming,walmartlab kafka
12102,Build Automation Tool Plugins,build|build-system|maven|plugin,milyn ect maven plugin
2038,Web Applications,application|bundle|view|web|webapp,entando bundle app view blog default
2858,Web Applications,application|example|jms|queue|rest|web|webapp,activemq example rest send
19212,Example,example,retrofit plus sample
22270,Utilities,io|validation,jto validation
6967,UI,assets|swagger|ui|web,webjar bower swagger ui theme
21787,Graph Algorithms and Tools,graph,ml sparkle graph util
14994,Concurrency Libraries,concurrency|disruptor,disruptor
26341,File Handler,pdf,pdf
24308,Logging / Monitoring,logging,propensive rapture logsjs
10131,Build Automation Tool Plugins,build|build-system|maven|plugin,geronimo genesis maven plugin
2052,Web Applications,application|bundle|web|webapp,entando bundle misc inspinia
434,Actor Frameworks,actor|concurrency|scala,scala lang actor
16794,DNS Libraries,dns,lightbend akka management discovery dns
10789,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin
5373,Testing,application|testing|web|webapp,debux webmotion test
23673,Testing,kafka|streaming|testing,expediagroup rhapsody kafka test
23637,Stream Processing,kafka|streaming,kr util kafka
21790,Graph Algorithms and Tools,graph,graph
12600,Build Automation Tool Plugins,build|build-system|maven|plugin|scala,scala cross build maven plugin
20412,Example,example|model|webservice,jersey sample atompub contact model
4073,Web Applications,application|io|plugin|policy|web|webapp,apiman plugin jwt policy
20577,Example,example|policy|service,qos example push pos policy for type service
17648,Template Engines,engine|template,jknack handlebar java
1116,Web Applications,analytics|application|rest|web|webapp,gov gchq gaffer analytic rest
13876,Database,cassandra|client|database|service,hurence logisland service cassandra client
14863,Compression Libraries,compression,avast bytecompressor huffman
15645,Cryptography,cryptography|io,crypto
10731,Build Automation Tool Plugins,build|build-system|maven|plugin,ingenieux cloudformation maven plugin
28047,Testing,testing,japgolly test state core
18888,Example,example,corefine demo
19317,Example,example,cc springboot starter sample
22924,File Handler,json|native,json native
4191,Web Applications,application|jboss|server|web|webapp,jboss aerogear unifiedpush server
7552,File System,aws|build|build-system|maven|s3,maven wagon
3980,Web Applications,application|http|web|webapp,picketbox http basic
3780,Web Applications,application|example|web|webapp|wicket,wicketstuff wicket poi example
15525,Cryptography,cryptography,spinoco crypto
22135,File Handler,io|json,spray json
26764,Rule Engines,rule-engine,drool wb test scenario editor api
25048,Build Automation Tool Plugins,maven|plugin,coderepositorie jcommon plugin
21445,Languages / Compiler / Interpretation,functional|scala|scalaz,scalaz coresjs
19200,Example,example,ksoichiro androidformenhancer sample demos
3201,Web Applications,application|example|servlet|web|webapp,mobicent servlet sip weld example
27966,Testing,testing,dozermapp dozer jmh test
22713,Database,jpa|persistence,dadrus jpa unit concordion
24307,Logging / Monitoring,logging,propensive rapture logsjs
5882,Web Applications,application|web|webapp,norad web
23663,Stream Processing,kafka|streaming,kafka
27840,Languages / Compiler / Interpretation,standard,javax xml api
2590,Web Applications,application|engine|servlet|web|webapp,push engine servlet
12842,Build Automation Tool Plugins,build|build-system|maven|plugin|twitter,twitter scrooge maven plugin
6567,Web Applications,application|web|webapp|webdav,modeshape webdav war
1109,Code analyses,analysis|tools,tool checkstyle
8438,UI,bootstrap,jwebmp bootstrap switch
1014,Testing,analysis|code-coverage|coverage|runtime,scoverage scalac runtimesjs
765,Code analyses,analysis,puresoltechnologie purifinity api analysis domain
24898,File Handler,markdown,databinder pamflet knockoff
22593,Database,jdbc|sql,cl jdbc
21584,Languages / Compiler / Interpretation,generator|parser,lihaoyi fastparsesjs
24738,Logging / Monitoring,logging|portal|slf4j,liferay portal util slfj
12848,Build Automation Tool Plugins,build|build-system|maven|plugin|unix,unix maven plugin
28548,Cluster Managment,yarn,flink yarn
9940,Build Automation Tool Plugins,build|build-system|jpa|maven|persistence|plugin|scanning,agapsy plugin jpa scanner maven
19073,Example,example,example parent
7411,Security / Authentification,authentication|io|oauth,sgr oauth resourceserver core
26181,Command Line Parsers,parser|scala,frugalmechanic scala
8798,Logging / Monitoring,bridge|logging,log logj flume ng
9437,Build Automation Tool Plugins,build|build-system|generator|maven|plugin,rock maven plugin content generator
27264,Security / Authentification,security,shiro
20714,Example,example|scala|web-framework,liftweb example
13179,Stream Processing,camel|connector|kafka|streaming,camel kafkaconnector atomix value kafka connector
14981,Concurrency Libraries,concurrency|concurrent|functional|scala|scalaz,scalaz concurrent
26818,Rule Engines,rule-engine,dentrassi kura addon drool component
3394,Example,application|example|web|webapp,demo
15901,File Handler,csv,geotoolkit geotk csv
11008,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin
16948,IDE Modules,eclipse|engine|font|io|plugin|report|reporting,report solution birt engine font
23395,Stream Processing,kafka|library|streaming,kafka
11561,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin
8957,Build Automation Tool Plugins,build|build-system|camel|doc|maven|plugin,camel eip documentation maven plugin
21259,UI,framework|play-framework|typesafe|web,typesafe play
7104,UI,assets|web,webjar
11098,Build Automation Tool Plugins,build|build-system|maven|plugin,jslsolucoe maven plugin
10709,Build Automation Tool Plugins,build|build-system|maven|plugin,sonatype plugin port maven
27571,Testing,server|testing,jingshouyan test server forward
2680,Example,application|example|gwt|ui|web|webapp,gwt demo
7571,File System,aws|client|s3,client
13435,Example,camel|example,camel example java rx
7032,UI,assets|web,webjar bootswatch
27585,Application-/ Web-Server,server|tomcat|webserver,psi probe tomcat
8971,Build Automation Tool Plugins,build|build-system|camel|maven|plugin,camel maven debezium plugin
23006,Utilities,json|validation,networknt json schema validator
24306,Logging / Monitoring,logging,propensive rapture log
20589,Example,example|processor,nifi example processor
10465,Build Automation Tool Plugins,build|build-system|maven|plugin,coffeescript maven plugin
17530,Languages / Compiler / Interpretation,ejb|javax|persistence|specs|standard,javax persistence ejb
3401,Example,application|example|web|webapp,bz opendatahub alpinebits example inventory
2760,Example,application|example|io|security|web|webapp,hawt example hawtio springboot security
6508,Web Applications,application|web|webapp,wildfly quickstart helloworld mdb
15359,Cryptography,cryptography,disney groovity crypto
3320,Example,application|example|web|webapp,local demo
11223,Build Automation Tool Plugins,build|build-system|maven|plugin,pogofish jadt maven plugin
27516,Marshalling / Unmarshalling,serialization,xuwei msgpackz jawn
1367,Annotation Processing,annotations|processor,cosium openapi annotation processor
22748,Database,jpa|persistence,lp jpa
6595,Web Applications,application|web|webapp|webservice,weblab webservice sphinx
4813,Web Applications,application|report|web|webapp,yandex qatool allure report face
25483,Testing,mock|mocking|specs|testing,spec mocksjs
16460,Machine Learning,deep-learning|machine-learning|nlp,deeplearningj nlp uima
16755,Stream Processing,distributed|processing|stream|twitter,twitter tormenta core
2435,Web Applications,application|deployment|web|webapp,wso deployment
3314,Example,application|example|web|webapp,blazebit blaze weblink example local
5953,Web Applications,application|web|webapp,oneandone
25898,Cluster Managment,network|yarn|hadoop|spark,spark network yarn
1170,Build Automation Tool Plugins,android|build|build-system|maven|plugin,android maven plugin
18508,Example,example,adorsy online demo
20882,Example,example|spring,tuscany sca sample helloworld spring
3400,Example,application|example|web|webapp,bz opendatahub alpinebits example
449,Logging / Monitoring,actor|logging|akka|distributed|concurrency|slf4j,akka slfj
1953,Web Applications,application|bpm|web|webapp,camunda bpm cycle glassfish
22068,File System,io|jboss,jboss vfs
4272,Web Applications,application|jms|queue|web|webapp,cargo jms topic war
4977,Web Applications,application|server|service|spring|web|webapp,wso appserver spring restful simple service
5777,Web Applications,application|web|webapp,hack citizen
17968,Example,example,alipay sofa tracer sample with
3439,Example,application|example|web|webapp,atmosphere sample chat
20790,Example,example|server,clusterra iam demo server runner
1397,Annotation Processing,annotations|processor,glassfish exception annotation processor
12082,Build Automation Tool Plugins,build|build-system|maven|plugin,lambadaframework lambada maven plugin
5972,Web Applications,application|web|webapp,unicon cas mfa overlay
17300,IDE Modules,eclipse|plugin,officefloor activity
15188,Crawler,crawler,societegenerale crawler
25804,Native Access Tools,native,domino jna
20892,Example,example|spring,ddphin spring boot sample
26027,OSGi,osgi,danielpacak osgi swingconsole
8889,Messaging / Integration,broker|kafka|message|streaming,kafka
4416,Web Applications,application|metrics|web|webapp,hawkular alert alerter metric
8785,IDE Modules,bridge|eclipse|io|plugin,takari bridge sonatype api
19081,Example,example,jacorb demo
11992,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin
4266,Web Applications,application|jms|plugin|queue|web|webapp,geronimo plugin activemq portlet
9901,Build Automation Tool Plugins,build|build-system|jboss|maven|plugin|testing,jboss maven plugin test ext
8097,File Handler,binding|jmx|xml,andromda thirdparty jaxbcommon jmx
28570,Cluster Managment,yarn|hadoop,ml shifu guagua yarn
9154,Build Automation Tool Plugins,build|build-system|css|maven|plugin,kodcu css maven plugin
16094,IDE Modules,data|eclipse|io|plugin|report|reporting,report solution birt datum oda sampledb
23610,Stream Processing,kafka|streaming,kafka
15623,Cryptography,cryptography|generator|io,stephenc crypto sign cert generator
26243,File Handler,pdf,imageio pdf
1801,Web Applications,application|authentication|identity|mail|portal|web|webapp,wso identity app email otp authentication portal
22931,File Handler,json|native,json native
21814,Graph Algorithms and Tools,graph,atlanmod emf graph
21368,Languages / Compiler / Interpretation,functional,typelevel catssjs
11230,Build Automation Tool Plugins,build|build-system|maven|plugin,chrono maven plugin
16896,DNS Libraries,dns|network,nhind dns
26013,Database,orm|persistence,orm fux ormfux common util
19283,Example,example,structlogge structlogger example
