,CATEGORY,TAGS,ga_txt_cleaned
3911,Web Applications,application|google|web|webapp,google mirror
10354,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin
16696,Build Automation Tool Plugins,descriptor|io|json|maven|platform|plugin,quarkus platform json plugin
19110,Example,example,sample
6800,UI,assets,webjar npm extend
23755,Languages / Compiler / Interpretation,language,service language
24294,Logging / Monitoring,logging,outr
4346,Web Applications,application|location|service|servlet|web|webapp,mobicent servlet sip testsuite application service
15953,File Handler,csv,csv
13066,Stream Processing,camel|connector|controller|kafka|kubernetes|streaming,camel kafkaconnector kubernete kafka connector
8990,Build Automation Tool Plugins,build|build-system|client|maven|plugin,client maven plugin
6127,Web Applications,application|web|webapp,hawkular alert action standalone
14022,Chart Libraries,chart|eclipse|model|visualization,neoscada hmi scada chart model edit
2295,Web Applications,application|console|framework|web|webapp,geronimo application console framework
790,Code analyses,analysis,sourceforge findbug ant
650,Stream Processing,amazon|aws|camel|connector|kafka|streaming,camel kafkaconnector aw ec kafka connector
19485,Example,example|groovy|testing,test groovy action sample
26087,OSGi,osgi,osgi
19354,Example,example|extension|spring|testing,flywaydb flyway test extension sample dbunit spring
750,Code analyses,analysis,google code findbug bcel
19326,Example,example|extension,flyway extension example
3464,Example,application|example|web|webapp,cometd java example
22230,Marshalling / Unmarshalling,io|serialization,serialization
2697,Example,application|example|gwt|ui|web|webapp,geomajas gwt quickstart application
5981,Web Applications,application|web|webapp,webapp
26484,Operations management,plugin|bpm|engine,camunda bpm engine plugin connect
14899,Compression Libraries,compression,avast bytecompressor
26436,Database,persistence,mybatis helper
17282,IDE Modules,eclipse|plugin,marvinformatic formatter
15434,Cryptography,cryptography,shiro crypto
17167,Build Automation Tool Plugins,eclipse|maven|plugin,tycho plugin
15514,Cryptography,cryptography,dropwizard crypto parent
11275,Build Automation Tool Plugins,build|build-system|maven|plugin,jacoco maven plugin
7215,UI,assets|web,webjar requirejs
16792,DNS Libraries,dns,google cloud dns
27020,Testing,scala|testing,scalacheck
26353,File Handler,pdf|play-framework,play pdf
16288,Machine Learning,deep-learning,deeplearningj core
15629,Cryptography,cryptography|google,google crypto tink app
5016,Web Applications,application|server|web|webapp,server war
11041,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin
17585,Database,elasticsearch,amazonaw aw java sdk elasticsearch
22780,File Handler,json,new core
4789,Web Applications,application|reference|web|webapp,hspconsortium reference hspc app
6845,UI,assets|bootstrap|web,webjar bower bootstrap
15488,Cryptography,cryptography,crypto
5003,Web Applications,application|server|tomcat|web|webapp|webserver,apereo cas mgmt webapp tomcat
2255,Web Applications,application|collector|web|webapp,sirona collector
27065,Testing,scala|testing,scalacheck scalachecksjs
1710,Build,ant|swing|ui,ant swing
21039,Example,example|text,hyrack text example
10012,Build,build|build-system|maven|model,maven model
28188,Testing,testing,test
6499,Web Applications,application|web|webapp,wildfly quickstart cdi interceptor
23053,Testing,junit|parser|testing,arquillian smart testing junit test parser
8508,UI,bootstrap,bootstrap
26817,Rule Engines,rule-engine,liferay drool core
18384,Example,example,example custom
19051,Example,example,ikasan sample generic parent
27472,Marshalling / Unmarshalling,serialization,xuwei msgpackz circesjs
13836,File Handler,camel|xml,camel quarkus xstream
7408,Security / Authentification,authentication|io|oauth,sgr oauth jee
27279,Security / Authentification,security,security base
6366,Web Applications,application|web|webapp,sakaiproject
19633,Example,example|image,imajine image example
27429,Marshalling / Unmarshalling,serialization,tkr msgpack
559,Web Applications,agent|application|web|webapp,hawkular agent wildfly helloworld war
4487,Web Applications,application|module|web|webapp,vgregion liferay user core bc module update hook
25627,File Handler,module|scala|xml,scala lang module xmlsjs
22960,File Handler,json|play-framework|typesafe,typesafe play jsonsjs
22256,Utilities,io|validation,jto validation core
18308,Example,example,example
273,Caching,actor|akka|concurrency|distributed|http|typesafe|caching,typesafe akka http cache
10711,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin
1850,Web Applications,application|aws|example|io|s3|web|webapp,mojo static example
8206,File Handler,binding|xml,jaxb
1823,Web Applications,application|authentication|metadata|web|webapp,redhat lightblue application metadata mgmt saml auth
27484,Marshalling / Unmarshalling,serialization,xuwei msgpackz core
4188,Web Applications,application|jboss|report|rest|web|webapp,jboss report rest
2339,Web Applications,application|console|web|webapp,console
220,Database,actor|akka|cassandra|concurrency|database|distributed|persistence|typesafe,typesafe akka persistence cassandra
19894,Example,example|io,wcm sample content
12285,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin
10658,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin
17778,Example,example,geronimo sample bank ear
10089,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin
23087,Testing,junit|spring,junit springsource
13599,Mailing,camel|google|mail,camel quarkus google mail parent
14018,Chart Libraries,chart|eclipse|model|ui|visualization,neoscada hmi scada ui chart model edit
10494,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin
15840,File Handler,csv,objecto csv
20771,Example,example|security|spring,shiro sample spring boot
12102,Build Automation Tool Plugins,build|build-system|maven|plugin,milyn maven plugin
5626,Web Applications,application|web|webapp,cafdataprocesse web
17803,Example,example,hyrack example
12618,Build Automation Tool Plugins,build|build-system|maven|plugin|schema,schema maven plugin
27939,Testing,testing,test util
25541,IDE Modules,module,cloudfarming client api
2186,Web Applications,application|client|example|web|webapp,bitbucket client example
13712,File Handler,camel|json,camel json simple order
28612,Distributed Coordination,zookeeper,softwaremill zookeeper
18931,Example,example,frame demo app
7532,Database,aws|build|build-system|database|dynamodb|maven|plugin,jcabi dynamodb maven plugin
23894,Testing,library|testing|vertx,vertx test
15907,File Handler,csv,web csv
8474,UI,bootstrap,liftmodule fobo twbs bootstrap re
10015,Build Automation Tool Plugins,build|build-system|maven|model|plugin,andromda maven plugin model
1905,Web Applications,application|bpm|console|gwt|jboss|server|ui|web|webapp,jboss bpm gwt console server
13974,Chart Libraries,chart|device|eclipse|io|plugin|reporting|svg|visualization,report solution birt chart device svg
5030,Web Applications,application|server|web|webapp,server
11048,Build Automation Tool Plugins,build|build-system|maven|plugin,hubspot maven plugin protoc bundle
20809,Example,example|server|servlet|tomcat|webserver,geronimo sample servlet example tomcat
28560,Cluster Managment,yarn,spring cloud server yarn
26747,Rule Engines,rule-engine,drool wb guide editor client
2207,Web Applications,application|client|provider|rest|web|webapp,client rest provider
6507,Web Applications,application|web|webapp,wildfly quickstart helloworld
25185,Build Automation Tool Plugins,maven|plugin,assertion mojo
17706,Example,example,arie sample ariestrader assembly
25916,Natural Language Processing,nlp,houbb nlp
24477,Logging / Monitoring,logging,openhft chronicle logger core
18207,Example,example,liferay demo
7954,Benchmarks,benchmark|io|service,scalecube service benchmark
22586,Database,jdbc|sql,jdbc unit
12037,Build Automation Tool Plugins,build|build-system|maven|plugin,kie maven plugin
1162,Build Automation Tool Plugins,android|build|build-system|maven|plugin,jayway maven plugin android generation
7570,Database,aws|client|database|dynamodb|hadoop,dynamodb
11894,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin
1623,Build,ant,ant
11087,Build Automation Tool Plugins,build|build-system|maven|plugin,javax maven plugin
24466,Logging / Monitoring,logging,java truevfs ext log
22483,Testing,jboss|testing|testng,jboss arquillian testng standalone
16739,Distributed Tracing,distributed|io|tracing,zipkin
15013,Configuration Libraries,config,core
11637,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin
24551,Logging / Monitoring,logging,logger
1115,Web Applications,analytics|application|event|web|webapp|websocket,wso carbon analytic common event adapter websocket endpoint
17616,Template Engines,engine|play-framework|template|typesafe,typesafe play twirl api
15942,File Handler,csv,csv
15653,Cryptography,cryptography|io,cryptoj
359,Testing,actor|akka|concurrency|distributed|testing|typesafe,typesafe akka testkit
8341,Bitcoin,bitcoin,bitcoinj
27773,Distributed Communication,specs|transaction,geronimo spec
16335,Machine Learning,deep-learning|machine-learning,thoughtwork deeplearne
27352,Security / Authentification,security|spring,spring boot shiro starter
13510,Example,camel|example|jdbc|sql,camel example jdbc
19756,Example,example|io,sample
12235,Build Automation Tool Plugins,build|build-system|maven|plugin,sonatype plugin artifact maven
9964,UI,build|build-system|jsp|maven|plugin|taglib,maven taglib plugin
12149,Build Automation Tool Plugins,build|build-system|maven|plugin,plugin maven property
20117,Example,example|jms|mapping|queue,activemq example mapping
23659,Stream Processing,kafka|streaming,kafka
1159,Build Automation Tool Plugins,android|build|build-system|maven|plugin,jayway maven plugin android generation
13268,Stream Processing,camel|connector|kafka|streaming,camel kafkaconnector kafka connector
18052,Example,example,example
25482,Testing,mock|mocking|specs|testing,spec mocksjs
19317,Example,example,cc springboot starter sample
11940,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin
23070,Testing,junit|provider|testing,dius pact jvm provider junit
10152,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin ear
27293,Security / Authentification,security,shiro
2540,Web Applications,application|ejb|io|jaxrs|rest|web|webapp,thorntail testsuite jaxrs ejb
20294,Example,example|kafka|streaming,kafka example
15689,Cryptography,cryptography|module,cryptography module
25355,Build Automation Tool Plugins,maven|plugin|service,service plugin
7381,Security / Authentification,authentication|io,udash auth
9506,Build Automation Tool Plugins,build|build-system|gradle|groovy|maven|plugin,code gradle maven plugin
7956,Benchmarks,benchmark|io|tracing,zipkin java benchmark
10031,Build Automation Tool Plugins,build|build-system|maven|native|plugin,dspace maven plugin
4995,Web Applications,application|server|testing|web|webapp,mobicent server medium test
15259,Job Scheduling,cron,cdi cron quartz scheduler
15790,UI,css|styles,css
22358,Languages / Compiler / Interpretation,javax|soap|specs|standard|xml,javax xml soap
2358,Web Applications,application|crud|rest|web|webapp,redhat lightblue rest
11671,Build Automation Tool Plugins,build|build-system|maven|plugin,sourceforge maven plugin
13835,File Handler,camel|xml,camel quarkus xml parent
8189,File Handler,binding|xml,jaxb
26014,Database,orm|persistence,orm simple di
13727,Stream Processing,camel|kafka|streaming,camel quarkus kafka parent
3083,Web Applications,application|example|scala|swagger|web|webapp,wordnik swagger scala sample file upload app
8984,Build Automation Tool Plugins,build|build-system|client|integration|maven|plugin,client integration maven plugin
20801,Example,example|server,server demo
1924,Web Applications,application|bpm|console|web|webapp,jbpm console
25422,Annotation Processing,messaging|eventbus|annotations|processor,annotation processor
13562,Example,camel|example|service|tracing,camel example opentrace service
21131,Example,example|webservice,glassfish jersey example helloworld weld
1599,Build,ant,ant task
19739,Example,example|io,apigee sample
10003,Build Automation Tool Plugins,build|build-system|markdown|maven|plugin,oneandone maven plugin markdown
27677,Social Network Clients,social|twitter,twitter
733,Messaging / Integration,amqp|rabbitmq,rabbitmq
13064,Stream Processing,camel|config|connector|kafka|kubernetes|streaming,camel kafkaconnector kubernete config map kafka connector
19612,Example,example|http|tracing|webservice,glassfish jersey example http trace
1390,Annotation Processing,annotations|processor,content resolver annotation processor
26377,File Handler,pdf|swing|ui,pdf swing
9141,Build Automation Tool Plugins,build|build-system|consul|maven|plugin,maven plugin
25623,File Handler,module|scala|xml,scala lang module xmlsjs
7478,Security / Authentification,authentication|mapping|oauth,liftmodule oauth mapper
23410,Logging / Monitoring,kafka|metrics|streaming,hotel kafka metric
9505,Build Automation Tool Plugins,build|build-system|google|maven|plugin|storage,maven plugin google storage upload
16155,Testing,database|graph|neo4j|testing,michael neoj migration test
6945,UI,assets|logging|web,webjar ext
936,Code analyses,analysis|ant,google code findbug ant
4270,Web Applications,application|jms|queue|web|webapp,activemq
16888,DNS Libraries,dns|network,dspace
11521,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin
2561,Web Applications,application|ejb|web|webapp,openejb tomee
17444,IDE Modules,eclipse|plugin|tools,tycho tool
3684,Example,application|example|web|webapp|webservice,jersey sample backend
4660,Web Applications,application|portal|portlet|web|webapp,gatein portal portlet feature
17927,Example,example,example
9972,Build Automation Tool Plugins,build|build-system|kafka|maven|plugin|streaming,maven kafka plugin
6747,Aspect Oriented,aspect|aop,metric aspectj
19657,Example,example|import,dhatim milyn smook example with java
4396,Web Applications,application|mapping|servlet|web|webapp,mobicent servlet sip testsuite application mapping
3115,Web Applications,application|example|scala|web|web-framework|webapp,scalatra example
17405,IDE Modules,eclipse|plugin,sonatype tycho touchpoint mixin equinox
13493,Example,camel|example|io,fabric example camel demo
2663,Example,application|example|gwt|plugin|reporting|ui|web|webapp,geomajas plugin report gwt example
26225,File Handler,pdf,pdf
11993,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin
20371,Example,example|manager|spring,bluestemsoftware open eoa example application spring manager
3417,Example,application|example|web|webapp,sample
19643,Example,example|image|io,fabric jube image quickstart mule helloworld
23797,Languages / Compiler / Interpretation,language,language util
10929,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin
11054,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin aem package
17837,Example,example,plcx example hello world
10963,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin
270,Caching,actor|akka|concurrency|distributed|http|typesafe|caching,typesafe akka http cache
24887,File Handler,markdown,libs
7975,Benchmarks,benchmark|server,cometd java benchmark server
23238,Testing,junit|testing,junit
22335,Languages / Compiler / Interpretation,javax|remote|specs|standard,javax face remote
8395,UI,bootstrap,adrianhurt play bootstrap
21835,Graph Algorithms and Tools,graph|interface,hawkular inventory tinkerpop spi
25143,Build Automation Tool Plugins,maven|plugin,igormaznitsa meta checker
11713,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin
8880,Messaging / Integration,broker|jms|message|queue|server,hornetq jms server
14827,Build,compiler,typesafe sbt compiler
1231,UI,angular|assets|validation|web,webjar angular validator
22701,Database,jpa|json|persistence,jpa json
28310,Testing,testing|xml,xml test
3550,Web Applications,application|example|web|webapp,wink example
25187,Build Automation Tool Plugins,maven|plugin,lifecycle
5452,Web Applications,application|testing|web|webapp,new test multi
6986,UI,assets|web,webjar
1087,Code analyses,analysis|elastic|elasticsearch|search,elasticsearch analysis
1639,Build,ant,pluto ant task
7625,Database,aws|database|dynamodb|registry|server|service|support,apereo cas server support dynamodb service registry
9099,Build Automation Tool Plugins,build|build-system|config|container|mapping|maven|plugin,wso maven container config mapper
7158,UI,assets|web,webjar
6621,Web Applications,application|web|web-framework|webapp,strut showcase
24637,Logging / Monitoring,logging,slfj simple
14973,Concurrency Libraries,concurrency|concurrent|functional|scala|scalaz,scalaz concurrent
20119,Example,example|jms|module|queue,activemq example module artemis
6292,Web Applications,application|web|webapp,picketlink employee post
17847,Example,example,example
8302,Bitcoin,bitcoin,bitcoin
3577,Web Applications,application|example|web|webapp,example webapp
16771,DNS Libraries,dns,alibaba dns cache
23954,Logging / Monitoring,logging,felix log
8417,UI,bootstrap,jwebmp jre bootstrap select
18511,Example,example,adorsy example
28320,Utilities,time,fluid time jdk
14634,Testing,code-coverage|runtime,scoverage scalac runtime
286,Logging / Monitoring,actor|akka|concurrency|distributed|logging|slf4j|typesafe,typesafe akka slfj
258,Search Engines,actor|akka|concurrency|distributed|elastic|elasticsearch|search,elasticsearch akka
974,Testing,analysis|code-coverage|coverage,emma
3182,Web Applications,application|example|servlet|web|webapp,mobicent servlet sip example call
26665,Utilities,regexp,sourceforge
17488,IDE Modules,eclipse|resource|runtime,core resource win
12060,Build Automation Tool Plugins,build|build-system|maven|plugin,kuali maven plugin
12581,Build Automation Tool Plugins,build|build-system|maven|plugin|resource,richface resource maven plugin
20405,Example,example|model,dhatim milyn smook example model basic
19523,Example,example|gwt|web-framework,vaadin custom flow demo
5470,Web Applications,application|tracking|web|webapp,wso carbon tracker
21579,Languages / Compiler / Interpretation,generator|parser,lihaoyi fastparse
1744,Mailing,appengine|mail,arcbee appengine mail
27816,Application Layer Protocol Integration,ssh,ssh
22648,Messaging / Integration,jms|queue,activemq core
28110,Testing,testing,test
13005,Caching,cache,backend
579,Managing / Monitoring,agent|jmx|management,fabric management jmx agent
8737,IDE Modules,bpm|eclipse|plugin,activiti designer libs
27799,Testing,spring|testing,bitbucket test spring runner
9924,Build Automation Tool Plugins,build|build-system|jms|maven|plugin|queue,activemq tooling maven plugin
1745,Web Applications,application,core
19898,Example,example|io,example
1310,Annotation Processing,annotations|doc|io|processor,dagger doc annotation processor
20042,Example,example|javaee,java sample javaee
4266,Web Applications,application|jms|plugin|queue|web|webapp,geronimo plugin activemq portlet
1132,Web Applications,analyzer|application|search|solr|web|webapp|webservice,weblab webservice solr detector
14616,Testing,code-coverage|plugin,scoverage scalac plugin
19455,Example,example|google,google code flexlib example
21670,Marshalling / Unmarshalling,google|protocol|serialization,google protobuf java
14412,File Handler,client|io|json,ktor client json
20606,Example,example|query,query demo common
20708,Example,example|scala|spark,spark scala example
16526,Dependency Injection,dependency-injection,core inject
6848,UI,assets|bootstrap|web,webjar bower bootstrap
21050,Example,example|tracking,example tracker
1556,Build,ant,ant
1811,Web Applications,application|authentication|identity|web|webapp,wso carbon identity local auth api endpoint
17391,IDE Modules,eclipse|plugin,sonatype hudson
27950,Testing,testing,cafdataprocesse worker document testing
22939,File Handler,json|native,json native
20760,Example,example|security,tomee patch cxf ws security example
9842,Build Automation Tool Plugins,build|build-system|javascript|maven|plugin,mojo javascript maven plugin
21244,UI,framework|io|web,udash core
23531,Stream Processing,kafka|streaming,datamountaineer kafka connect yahoo
16542,Dependency Injection,dependency-injection,guice all
10743,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin
18054,Example,example,example
23201,Testing,junit|testing,testing junit test
1234,UI,angular|assets|web,webjar angular
21603,Languages / Compiler / Interpretation,generator|parser|scala,parboil scala
7693,Build Automation Tool Plugins,azure|maven|plugin,microsoft azure
12815,Build Automation Tool Plugins,build|build-system|maven|plugin|tools,jvnet hudson tool maven plugin
28352,Distributed Communication,transaction,transaction
6856,UI,assets|data|web,webjar datum
16507,Dependency Injection,dependency-injection,twitter inject module
15665,Cryptography,cryptography|io|scala|scalajs,scalajs npm
14991,Concurrency Libraries,concurrency|concurrent|javax|specs|standard,javax enterprise concurrent api
22951,File Handler,json|play-framework|typesafe,typesafe play json
4121,Web Applications,application|io|web|webapp,brooklyn
5418,Testing,application|testing|web|webapp,glassfish tyrus test qa lifecycle
10944,Build Automation Tool Plugins,build|build-system|maven|plugin,maven converter plugin
19534,Example,example|gwt|web-framework,vaadin flow demo
3889,Web Applications,application|gateway|rest|web|webapp,wso carbon apimgt micro gateway rest api
19790,Example,example|io,fabric example
23725,Languages / Compiler / Interpretation,language,language
10626,Build Automation Tool Plugins,build|build-system|maven|plugin,file maven plugin
8246,File Handler,binding|xml,uvic cfar swim jaxb
25605,File Handler,module|scala|xml,scala lang module xml
16807,DNS Libraries,dns,dns
1116,Web Applications,analytics|application|rest|web|webapp,gov gchq gaffer analytic rest
13594,Application Layer Protocol Integration,camel|ftp|network,camel springboot ftp starter
11910,Build Automation Tool Plugins,build|build-system|maven|plugin,fusesource mvnplugin maven fab plugin
4939,Web Applications,application|scala|web|web-framework|webapp,scalatra scalate war
5906,Web Applications,application|web|webapp,aequologica neo web
2,Database,accumulo,accumulo
12320,Build Automation Tool Plugins,build|build-system|maven|plugin,felix maven plugin
15308,Job Scheduling,cron,alonsodomin cron
1232,UI,angular|assets|web,webjar angular
20545,Example,example|persistence|spring,blazebit blaze persistence example showcase runner spring
7729,Utilities,base64|encoding,base
1384,Annotation Processing,annotations|processor,mastfrog annotation processor
1300,Annotation Processing,annotations|client|io|processor|rest,rxmicro annotation processor rest client
10400,Build Automation Tool Plugins,build|build-system|maven|plugin,maven car plugin
14772,Build Automation Tool Plugins,commons|maven|plugin,common release plugin
14606,Testing,code-coverage|maven|plugin,mojo cobertura core
12672,Build Automation Tool Plugins,build|build-system|maven|plugin|service,tooling maven plugin
8838,Example,broker|example|jms|queue,activemq example broker context
21511,Languages / Compiler / Interpretation,generator|module|parser,parser generator module
27048,Testing,scala|testing,scalacheck scalachecksjs
16183,Utilities,date|time,nscala time
28503,File Handler,xml,fasterxml xml
27345,Security / Authentification,security|spring,spring security jwt
9521,Build Automation Tool Plugins,build|build-system|groovy|maven|plugin,mojo groovy maven plugin
15227,Crawler,crawler|system,system crawler
12108,Build Automation Tool Plugins,build|build-system|maven|plugin,mobicent maven plugin
25668,Native Access Tools,native,marschall native parent
15167,Crawler,crawler,crawler
3402,Example,application|example|web|webapp,rudin rt example simple webapp
15911,File Handler,csv,nuxeo csv core
11238,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin
15419,Cryptography,cryptography,rudin core crypto
6932,UI,assets|jquery|web,webjar jquery
12959,Build Automation Tool Plugins,bundle|maven|plugin,tycho document bundle plugin
27424,Marshalling / Unmarshalling,serialization,serialization
28199,Testing,testing,test
1330,Annotation Processing,annotations|io|processor,rxmicro annotation processor
8454,UI,bootstrap,turbospace boot bootstrap core
5548,Web Applications,application|web|webapp,war
9959,Build Automation Tool Plugins,build|build-system|json|maven|plugin|tools,tool json merge maven plugin
11086,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin
10624,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin
3209,Example,application|example|social|web|webapp,craftercms crafter social blog demo
23405,Stream Processing,kafka|manager|streaming|ui,kafka manager ui
24858,IDE Modules,mapping,agrosense api mapping
8343,Bitcoin,bitcoin,daemon
2327,Web Applications,application|console|web|webapp,console
21514,Languages / Compiler / Interpretation,generator|module|parser|scala,scala lang module parser combinator
7838,Benchmarks,benchmark,benchmark
13520,Example,camel|example|kubernetes,camel example cdi kubernete
27676,Testing,social|testing,liferay social activity test util
20431,Example,example|mvc|sdk|spring,sdk example spring mvc
10088,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin
27390,Testing,selenium|testing,selenium
8238,File Handler,binding|xml,uvic cfar swim jaxb
26155,Testing,osgi|testing,dozer osgi test
26764,Rule Engines,rule-engine,drool wb test editor api
15730,Cryptography,cryptography|url,url crypto kit
27465,Marshalling / Unmarshalling,serialization,xuwei msgpackz circe
23720,Languages / Compiler / Interpretation,language,ibm language translation
6530,Web Applications,application|web|webapp,wildfly quickstart helloworld
6900,UI,assets|jquery|validation|web,webjar jquery validation
25257,Build Automation Tool Plugins,maven|plugin,plugin
4439,Web Applications,application|mock|service|web|webapp,mock service
3116,Web Applications,application|example|scala|web|web-framework|webapp,scalatra example
14080,Chart Libraries,chart|visualization,chart parent
21202,IDE Modules,file-system,core filesystem
16083,IDE Modules,data|eclipse|io|jdbc|plugin|report|reporting|sql|ui,report solution birt datum oda jdbc ui
958,Code analyses,analysis|builder,kemitix checkstyle builder
26433,Database,persistence,mybatis helper
6007,Web Applications,application|web|webapp,beangle webui app showcase
212,Database,actor|akka|cassandra|concurrency|database|distributed|launcher|persistence|typesafe,typesafe akka persistence cassandra launcher
20787,Example,example|selenium|testing,step example demo selenium
25777,Native Access Tools,native,native
27417,Marshalling / Unmarshalling,serialization,serializer
23735,Languages / Compiler / Interpretation,language,platform language
2821,Web Applications,application|example|jboss|mobile|web|webapp,jboss errai cdi demo mobile
23572,Stream Processing,kafka|streaming,kafka connect
12315,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin
15255,Job Scheduling,cron,cron stream
1312,Annotation Processing,annotations|doc|io|processor,rxmicro annotation processor documentation
16495,Dependency Injection,dependency-injection,guice webapp
21740,Graph Algorithms and Tools,graph,tinkerpop blueprint graph
9677,Build Automation Tool Plugins,build|build-system|io|maven|plugin,maven plugin
9903,Build Automation Tool Plugins,build|build-system|jboss|maven|plugin|tools|webservice,jboss ws plugin maven jaxws tool
9250,Build Automation Tool Plugins,build|build-system|doc|maven|plugin,ontopia documentation maven plugin
8193,File Handler,binding|xml,jaxb
6482,Web Applications,application|web|webapp,template
6810,UI,assets,webjar npm cache
11723,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin
22706,Database,jpa|mapping|persistence|spring,jpa mapper spring boot
3563,Web Applications,application|example|web|webapp,sample springmvc
20402,Example,example|model,defne sample model
13418,Example,camel|esb|example|rule-engine|server,servicemix example drool camel cxf server
13527,Example,camel|example|messaging|pojo,camel example pojo message
25100,Build Automation Tool Plugins,maven|plugin,connect plugin
502,Web Applications,admin|application|social|web|webapp,craftercms crafter social admin
24984,Utilities,matrix|vector,nuiton matrix
18296,Example,example,oneandone core sample
21608,Languages / Compiler / Interpretation,generator|parser|scala,parboil scala
20877,Example,example|spark,datastax spark simple demos
8650,Operations management,bpm,jbpm audit
15962,File Handler,csv,gekomad csv
10742,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin
17686,Logging / Monitoring,event|logging,nifi window event log nar
13516,Example,camel|example|json|rest,camel quarkus example rest json
2766,Example,application|example|io|tracing|web|webapp,tracee example springmvc
15422,Cryptography,cryptography,crypto
9097,Build Automation Tool Plugins,build|build-system|compression|maven|plugin|scm|web,scm maven web
5216,Web Applications,application|servlet|testing|web|webapp,glassfish tyrus test servlet basic
11334,Build Automation Tool Plugins,build|build-system|maven|plugin,theoryinpractise maven plugin
3659,Web Applications,application|example|web|webapp,richface example component demo
23141,Testing,junit|testing,junit
7531,File System,aws|build|build-system|cloud|maven|plugin|s3|storage,maven cloud storage wagon
22603,Database,jdbc|sql,zhengframework zheng jdbc core
27234,Version-control system tools,scm,jboss forge addon api
2911,Web Applications,application|example|jsf|web|webapp,myface example simple
3486,Example,application|example|web|webapp,glassfish grizzly sample comet
8121,File Handler,binding|plugin|xml,helger ph jaxb plugin
11342,Build Automation Tool Plugins,build|build-system|maven|plugin,thoughtwork maven plugin
15879,File Handler,csv,csv
24974,Utilities,matrix|vector,iom
27952,Testing,testing,cafdataprocesse worker testing
